"부동산물건uid(부동산물건uid)","시도명(시도명)","시군구명(시군구명)","구명(구명)","읍면동명(읍면동명)","리명(리명)","번지(번지)","기타번지(기타번지)","아파트명(아파트명)","총세대수(총세대수)","총동수(총동수)","단지최고층(단지최고층)","단지최저층(단지최저층)","준공연월(준공연월)","건설업체명(건설업체명)","난방방식(난방방식)","난방연료(난방연료)","주차대수(주차대수)","관리사무소전화번호(관리사무소전화번호)","분양권여부(분양권여부)","입주년월(입주년월)","단지특성(단지특성)","우편번호(우편번호)","주상복합여부(주상복합여부)","빌라연립여부(빌라연립여부)","구청명(구청명)","동사무소명(동사무소명)","파출소명(파출소명)","소방서명(소방서명)","은행명(은행명)","병원명(병원명)","스포츠센터명(스포츠센터명)","쇼핑센터명(쇼핑센터명)","학교명(학교명)","공원명(공원명)","일반버스번호(일반버스번호)","좌석버스번호(좌석버스번호)","지하철노선명(지하철노선명)","지하철역명(지하철역명)","소요시간(소요시간)","법정동코드(법정동코드)","리모델링여부(리모델링여부)","단지 좌표 X값(단지 좌표 X값)","단지 좌표 Y값(단지 좌표 Y값)"
"KBA000036","서울특별시","도봉구",,"쌍문동",,"54",,"현*****","783","8","15","13","198911","현대건설","개별","도시가스","400","02-902-2628","F","198912",,"01387","F","F","도봉","쌍문4동",,,"국민","김수길내과, 한일","명성","하나로마트, 롯데(구미도파)","창경, 선덕","29",,,"4호선","쌍문역","버스5 분","1132010500","F","958680.8903471","1962209.0951981"
"KBA000051","서울특별시","도봉구",,"방학동",,"508",,"우*****","558","5","15","12","199309","우성건설","개별","도시가스","450","02-956-3282","F","199212",,"01373","F","F","도봉","방학4, 엔크린","도봉",,"조흥은행, 한빛은행","이수현소아과, 이수현내과, 한경원피부과, 손익수치과, 김이비인후과, 한일","명성, 한양","이마트,하이마트,까르푸,롯데마트 , 롯데","초당, 선덕, 선덕","407, 29, 단지공원",,,,,,"1132010600","F","957835.0907566","1962038.8683609"
"KBA000141","서울특별시","도봉구",,"쌍문동",,"59",,"한*****","735","5","15","15","198901","한양","중앙","도시가스","735","02-995-1469","F","198901","한양2차(1동~6동)동향,남향이 섞여있고,  한양3차(7~8동) 동향만 있음. 한양4차(9~10동)임.(지번","01430","F","F",,"쌍문4","도봉",,"한빛","다인치과, 양소아과, 김윤석이비인후과, 김수길내과","명성","E마트, 하나로, 미도파","창경, 백운, 선덕",,,,"4호선","쌍문역","도보15분","1132010500","F","958662.3848575","1962038.0563243"
"KBA000377","서울특별시","도봉구",,"창동",,"451",,"창*****","121","1","13","13","199904","한신공영","개별","도시가스","61","02-997-2267","F","199904","811호 82.28 1세대 있음","01474","F","F",,,,,,"한일병원",,"이마트,창동하나로마트,강북보건소","신창, 신창, 월계, 염광, 월계, 염광",,"1133",,"1호선","녹천","도보15분","1132010700","F","959483.8346003","1960040.8058975"
"KBA000469","서울특별시","도봉구",,"쌍문동",,"53",,"성*****","498","7","15","13","198909","성원건설","개별","도시가스","747","02-6221-6269","F","198909",,"01388","F","F",,"쌍문4","북부",,"제일은행, 조흥은행","이수현소아과, 이수현내과, 최세원치과, 한경원피부과, 한일","명성, 한양","하나로마트, E마트, 미도파","동북, 선덕, 선덕","단지공원, 35","1165.1120","2","1호선, 4호선","창동, 쌍문","버스10분, 버스10분","1132010500","F","958475.0630079","1962227.3863348"
"KBA000681","서울특별시","도봉구",,"도봉동",,"642",,"현*****","190","1","18","18","199812","현대건설","개별","도시가스","300","02-3491-8954","F","199812","도봉역도보7분, 인근 도봉중.창도초중.서울문화고등학교, 도봉구청과주민센터인근,인근 중량천","01322","T","F","도봉","도봉2","도봉","도봉소방서","국민은행, 하나은행","한신연세치과, 우종균소아과, 주용진내과, 백병원",,"롯데마트","오봉, 도봉, 누원","단지공원, 중랑천체육공원","215",,,,,"1132010800","F","960118.5571434","1964194.6993743"
"KBA000687","서울특별시","도봉구",,"도봉동",,"641외1필지","641,641-1","서*****","2450","16","18","16","199610","삼익건설","지역","열병합","2500","02-3493-8626","F","199610","도봉역도보7분, 인근 도봉중.창도초중.서울문화고등학교, 도봉구청과주민센터인근,인근 중량천이 있음임대734세대","01324","F","F","도봉","도봉2","도봉",,"국민은행, 축협은행","신치과, 홍소아과, 주용진내과, 상계백병원",,"롯데마트, 롯데","창도, 도봉, 도봉정보산업","도봉산, 수락산, 청소년공원, 중랑천생활체육공원","12.13, 215",,"1호선, 7호선","도봉역, 수락산역","도보10분, 도보10분","1132010800","F","960092.9191512","1963810.9768142"
"KBA000970","서울특별시","도봉구",,"창동",,"366외 1필지","366,366-2","서*****","160","8","5","5","199208","뉴삼익건설","개별","도시가스","240","02-998-3536","F","199208",,"01425","F","F",,,,,,,,,,,,,,,,"1132010700","F","959829.7951776","1960957.4257682"
"KBA001053","서울특별시","도봉구",,"쌍문동",,"713",,"에*****","82","1","9","7","200206","요진건설","개별","도시가스","82","02-993-1489","F","200206",,"01392","F","F",,,,,,"도봉보건소",,,,,,,"4호선","쌍문","도보10분","1132010500","F","959374.4899608","1962406.5235779"
"KBA001186","서울특별시","도봉구",,"도봉동",,"654",,"동*****","526","7","22","15","200212","동아건설산업","개별","도시가스","717","02-3491-0252","F","200212",,"01320","F","F",,,,,,,,,,,,,,,,"1132010800","F","960166.0482924","1964852.2049342"
"KBA001425","서울특별시","도봉구",,"방학동",,"739",,"효*****","122","1","15","8","200205","효성","개별","도시가스","122","02-955-7583","F","200205",,"01384","F","F",,,,,,,,,,,,,,,,"1132010600","F","958806.6430378","1962546.3013552"
"KBA001506","서울특별시","도봉구",,"쌍문동",,"59",,"한*****","240","2","15","15","198912","한양","중앙","도시가스","240","02-995-1469","F","198901","한양2차(1동~6동)동향,남향이 섞여있고,  한양3차(7~8동) 동향만 있음. 한양4차(9~10동)임.(지번","01430","F","F",,"쌍문4","쌍문",,,,,"빅마켓.이마트.홈플러스.하나로클럽","동북.창경.한신, 방학.백운.선덕.신방학.효문, 선덕.세그루패션디자인.정의여자.효문","쌍문근린","101.1120.1139.1157","도봉05.도봉06","4호선","쌍문역","버스3 분","1132010500","F","958588.3573289","1962102.8275121"
"KBA001575","서울특별시","도봉구",,"쌍문동",,"723","47-3","쌍*****","136","1","20","14","199812","신원종합개발","개별","도시가스","0","02-999-2762","F","199812",,"01394","T","F",,,,,,"한일",,"이마트","승리, 정의여자, 신도봉",,,,"4호선","쌍문역","도보5 분","1132010500","F","959054.7176043","1962202.3038195"
"KBA001782","서울특별시","도봉구",,"창동",,"825",,"북*****","2061","25","24","17","200407","현대산업개발","개별","도시가스","2","02-994-4596","F","200407","북한산 I-PARK 아파트단지는 2061세대의 대단위 단지로  단지내 스포츠쎈타와 조깅코오스가 있으며 지상은","01398","F","F","도봉",,,,"단지내상가 (하나),국민,신한",,,"농협하나로, E-마트,홈에버(까루프), 롯데","가인, 창동, 백운, 창동.정의여자,자운",,"12.13.19.20.","112.900","1호선, 4호선, 7호선","창동역, 창동역, 노원역","도보5 분, 도보5 분, 버스5 분","1132010700","F","959838.4406021","1962204.1230595"
"KBA001888","서울특별시","도봉구",,"창동",,"45",,"삼*****","1668","18","21","17","199207","삼성물산","지역","도시가스","2836","02-999-5058","F","199207","철도옆으로  위치한 단지는 시세가 낮고 방향 층등에 따라 시세차이 큼","01422","F","F",,,,,,,,,,,,,"1호선, 4호선","창동, 창동","도보5 분, 도보5 분","1132010700","F","960119.930514","1961227.7795815"
"KBA002061","서울특별시","도봉구",,"창동",,"805","135-5","동*****","449","3","17","11","199611","동아건설","개별","도시가스","449","02-997-8171","F","199611","1.4호선 전철역 도보2분거리,전평형 계단식,관리비 저렴e-마트,하나로마트,롯데백화점,까르프인접","01399","F","F",,,,,,,,"e-마트,하나로마트",,,"50",,"4호선","창동","도보1 분","1132010700","F","959998.6502575","1961729.4424942"
"KBA002079","서울특별시","도봉구",,"방학동",,"732외 1필지","733","신*****","361","3","15","15","199505",,"개별","도시가스","361","02-3491-3438","F","199505","114~116동","01359","F","F","도봉","방학, 방학3","도봉",,"국민","김이비인후과, 남재형치과, 이근환정형외과, 유덕기내과, 배소아과, 정","명성, 한양","E마트, 하나로마트, 롯데","방학, 신방학, 정의여자","35, 10, 단지",,,"1호선","방학역","도보5 분","1132010600","F","958474.416211","1962706.0151969"
