,학교명,구,주소
0,선화예술중학교,['광진구'],['능동']
1,서울숭신초등학교,['성동구'],['하왕십리동']
2,행당중학교,['성동구'],['행당동']
3,한양대학교사범대학부속중학교,['성동구'],['사근동']
4,자양중학교,['광진구'],['자양동']
5,용곡중학교,['광진구'],['중곡동']
6,옥정중학교,['성동구'],['옥수동']
7,양진중학교,['광진구'],[]
8,신양중학교,['광진구'],['자양동']
9,성원중학교,['성동구'],['성수동']
10,성수중학교,['성동구'],['성수동']
11,무학중학교,['성동구'],['행당동']
12,마장중학교,['성동구'],['마장동']
13,대원국제중학교,['광진구'],['중곡동']
14,동마중학교,['성동구'],['마장동']
15,동국대학교사범대학부속여자중학교,['광진구'],['구의동']
16,구의중학교,['광진구'],['화양동']
17,광희중학교,['성동구'],['응봉동']
18,광진중학교,['광진구'],['자양동']
19,광장중학교,['광진구'],['광장동']
20,광양중학교,['광진구'],['자양동']
21,광남중학교,['광진구'],['광장동']
22,경일중학교,['성동구'],['성수동']
23,경수중학교,['성동구'],['성수동']
24,건국대학교사범대학부속중학교,['광진구'],[]
25,한양초등학교,['성동구'],['사근동']
26,세종초등학교,['광진구'],['군자동']
27,성동초등학교,['광진구'],['자양동']
28,서울화양초등학교,['광진구'],['화양동']
29,서울행현초등학교,['성동구'],['행당동']
30,서울행당초등학교,['성동구'],['행당동']
31,서울중마초등학교,['광진구'],['중곡동']
32,서울중광초등학교,['광진구'],['중곡동']
33,서울장안초등학교,['광진구'],['군자동']
34,서울자양초등학교,['광진구'],['자양동']
35,서울응봉초등학교,['성동구'],['응봉동']
36,서울용마초등학교,['광진구'],['중곡동']
37,서울용답초등학교,['성동구'],[]
38,서울용곡초등학교,['광진구'],['중곡동']
39,서울옥정초등학교,['성동구'],['옥수동']
40,서울옥수초등학교,['성동구'],['금호동']
41,서울양진초등학교,['광진구'],['광장동']
42,서울양남초등학교,['광진구'],['자양동']
43,서울신자초등학교,['광진구'],['자양동']
44,서울신양초등학교,['광진구'],['자양동']
45,서울송원초등학교,['성동구'],['송정동']
46,서울성자초등학교,['광진구'],['자양동']
47,서울성수초등학교,['성동구'],['성수동']
48,서울사근초등학교,['성동구'],['사근동']
49,서울무학초등학교,['성동구'],['하왕십리동']
50,서울마장초등학교,['성동구'],['마장동']
51,서울동호초등학교,['성동구'],"['서울동', '옥수동']"
52,서울동자초등학교,['광진구'],['자양동']
53,서울동의초등학교,['광진구'],"['구의동', '서울동']"
54,서울동명초등학교,['성동구'],"['서울동', '마장동']"
55,서울금호초등학교,['성동구'],['금호동']
56,서울금옥초등학교,['성동구'],['금호동']
57,서울금북초등학교,['성동구'],['금호동']
58,서울구의초등학교,['광진구'],['화양동']
59,서울구남초등학교,['광진구'],['구의동']
60,서울광진초등학교,['광진구'],['구의동']
61,서울광장초등학교,['광진구'],['광장동']
62,서울광남초등학교,['광진구'],['광장동']
63,서울경일초등학교,['성동구'],['성수동']
64,서울경수초등학교,['성동구'],['성수동']
65,서울경동초등학교,['성동구'],"['성수동', '경동']"
66,경복초등학교,['광진구'],['능동']
67,중앙대학교사범대학부속중학교,['동작구'],['흑석동']
68,장승중학교,['동작구'],['상도동']
69,인헌중학교,['관악구'],['봉천동']
70,영등포중학교,['동작구'],['대방동']
71,신림중학교,['관악구'],['신림동']
72,신관중학교,['관악구'],['신림동']
73,숭의여자중학교,['동작구'],['대방동']
74,성보중학교,['관악구'],['신림동']
75,성남중학교,['동작구'],['대방동']
76,서울문영여자중학교,['관악구'],['봉천동']
77,상현중학교,['동작구'],['상도동']
78,상도중학교,['동작구'],['사당동']
79,삼성중학교,['관악구'],['신림동']
80,사당중학교,['동작구'],['사당동']
81,봉원중학교,['관악구'],['봉천동']
82,봉림중학교,['관악구'],['봉천동']
83,미성중학교,['관악구'],['신림동']
84,문창중학교,['동작구'],['신대방동']
85,동작중학교,['동작구'],['동작동']
86,동양중학교,['동작구'],['흑석동']
87,대방중학교,['동작구'],['신대방동']
88,당곡중학교,['관악구'],['봉천동']
89,남성중학교,['동작구'],['사당동']
90,남서울중학교,['관악구'],['신림동']
91,남강중학교,['관악구'],['신림동']
92,난우중학교,['관악구'],['신림동']
93,국사봉중학교,['동작구'],['상도동']
94,구암중학교,['관악구'],['봉천동']
95,광신중학교,['관악구'],['신림동']
96,관악중학교,['관악구'],['봉천동']
97,강현중학교,['동작구'],['상도동']
98,강남중학교,['동작구'],['대방동']
99,중앙대학교사범대학부속초등학교,['동작구'],['흑석동']
100,서울흑석초등학교,['동작구'],['흑석동']
101,서울행림초등학교,['동작구'],['사당동']
102,서울청룡초등학교,['관악구'],['봉천동']
103,서울조원초등학교,['관악구'],['신림동']
104,서울인헌초등학교,['관악구'],['봉천동']
105,서울은천초등학교,['관악구'],['봉천동']
106,서울은로초등학교,['동작구'],['흑석동']
107,서울원신초등학교,['관악구'],['신림동']
108,서울원당초등학교,['관악구'],['봉천동']
109,서울영화초등학교,['동작구'],['대방동']
110,서울영본초등학교,['동작구'],['본동']
111,서울신우초등학교,['관악구'],['신림동']
112,서울신성초등학교,['관악구'],['신림동']
113,서울신상도초등학교,['동작구'],['상도동']
114,서울신봉초등학교,['관악구'],['봉천동']
