구명,초등학교,초등학생,유치원,유치원생
강남구,33,19797,37,3260
강동구,29,12446,35,4237
강북구,14,7296,18,1244
강서구,35,22466,54,5375
관악구,22,10987,33,2991
광진구,22,10363,31,2470
구로구,27,12284,32,2905
금천구,18,6354,18,1550
노원구,42,16412,62,5872
도봉구,23,8941,27,2252
동대문구,21,9911,29,2849
동작구,21,11722,32,2846
마포구,22,12877,25,2784
서대문구,19,10365,23,2371
서초구,24,17933,26,2467
성동구,21,9950,28,2110
성북구,29,13541,47,4346
송파구,41,25343,50,5355
양천구,30,17603,39,4150
영등포구,24,10679,37,3410
용산구,15,6231,13,1344
은평구,31,14697,42,3551
종로구,13,4069,17,1180
중구,12,3151,14,1038
중랑구,23,10521,29,2700
