,초등학교명,구명,동명
0,서울숭신초등학교,['성동구'],['하왕십리동']
1,한양초등학교,['성동구'],['사근동']
2,세종초등학교,['광진구'],['군자동']
3,성동초등학교,['광진구'],['자양동']
4,서울화양초등학교,['광진구'],['화양동']
5,서울행현초등학교,['성동구'],['행당동']
6,서울행당초등학교,['성동구'],['행당동']
7,서울중마초등학교,['광진구'],['중곡동']
8,서울중광초등학교,['광진구'],['중곡동']
9,서울장안초등학교,['광진구'],['군자동']
10,서울자양초등학교,['광진구'],['자양동']
11,서울응봉초등학교,['성동구'],['응봉동']
12,서울용마초등학교,['광진구'],['중곡동']
13,서울용답초등학교,['성동구'],[]
14,서울용곡초등학교,['광진구'],['중곡동']
15,서울옥정초등학교,['성동구'],['옥수동']
16,서울옥수초등학교,['성동구'],['금호동']
17,서울양진초등학교,['광진구'],['광장동']
18,서울양남초등학교,['광진구'],['자양동']
19,서울신자초등학교,['광진구'],['자양동']
20,서울신양초등학교,['광진구'],['자양동']
21,서울송원초등학교,['성동구'],['송정동']
22,서울성자초등학교,['광진구'],['자양동']
23,서울성수초등학교,['성동구'],['성수동']
24,서울사근초등학교,['성동구'],['사근동']
25,서울무학초등학교,['성동구'],['하왕십리동']
26,서울마장초등학교,['성동구'],['마장동']
27,서울동호초등학교,['성동구'],"['서울동', '옥수동']"
28,서울동자초등학교,['광진구'],['자양동']
29,서울동의초등학교,['광진구'],"['구의동', '서울동']"
30,서울동명초등학교,['성동구'],"['서울동', '마장동']"
31,서울금호초등학교,['성동구'],['금호동']
32,서울금옥초등학교,['성동구'],['금호동']
33,서울금북초등학교,['성동구'],['금호동']
34,서울구의초등학교,['광진구'],['화양동']
35,서울구남초등학교,['광진구'],['구의동']
36,서울광진초등학교,['광진구'],['구의동']
37,서울광장초등학교,['광진구'],['광장동']
38,서울광남초등학교,['광진구'],['광장동']
39,서울경일초등학교,['성동구'],['성수동']
40,서울경수초등학교,['성동구'],['성수동']
41,서울경동초등학교,['성동구'],"['성수동', '경동']"
42,경복초등학교,['광진구'],['능동']
